Identifiant,Ancien_nom_officiel,Identifiant_du_nom_officiel,Nom_officiel,Type_entite,Latitude,Longitude,Feuillet_cartographique,Code_geographique,Municipalite,Designation,Date_decision,IDE,Origine_linguistique,Partie_specifique,Partie_generique,Sexe
10634,"Caribou, Lac",59545,"Shitagoo, Lac",Lac,47.486419,-72.400847,31P08,90012,La Tuque,Ville,1971-06-01,a6305a61be4f11d892e2080020a0f4c9,Langue amérindienne indéterminée,Caribou,Lac,
42825,"Mousse, Lac",59600,"Sicotte, Lac",Lac,46.163055,-74.048055,31J01,62055,Notre-Dame-de-la-Merci,Municipalité,1974-01-22,aeeef873be4f11d892e2080020a0f4c9,Français,Mousse,Lac,
277049,"Perdrix, Lac de la",59610,"Sienkiewicz, Lac",Lac,47.064244,-75.194149,31O03,79922,Lac-Douaire,Territoire non organisé,1992-04-24,af819b8bbe4f11d892e2080020a0f4c9,Français,Perdrix,Lac de la,
38807,"Marcotte, Lac",59641,"Silènes, Lac des",Lac,47.598888,-71.039444,21M11,16902,Lac-Pikauba,Territoire non organisé,1971-06-01,b70ce9b6be4f11d892e2080020a0f4c9,Français,Marcotte,Lac,
28740,"High, Lac",59693,"Simard, Lac",Lac,46.236666,-75.328054,31J03,79924,Lac-Ernest,Territoire non organisé,1972-01-11,bdc50864be4f11d892e2080020a0f4c9,Anglais,High,Lac,
50426,"Poncet, Lac",59774,"Simone, Lac",Lac,47.066788,-72.787205,31P02,35055,Trois-Rives,Municipalité,1971-06-18,c8f12422be4f11d892e2080020a0f4c9,Français,Poncet,Lac,
60049,"Small, Lac",59774,"Simone, Lac",Lac,47.066788,-72.787205,31P02,35055,Trois-Rives,Municipalité,1971-06-18,c8f12422be4f11d892e2080020a0f4c9,Anglais,Small,Lac,
103665,"Simon, Petit lac",59783,"Simonet, Lac",Lac,45.808055,-75.073332,31G14,80027,Saint-André-Avellin,Municipalité,1981-07-09,cb0e10babe4f11d892e2080020a0f4c9,Français,Simon,Petit lac,
104348,"Kantoskekamak",59820,"Sing, Lac",Lac,47.155277,-74.219443,31O01,62906,Baie-de-la-Bouteille,Territoire non organisé,1981-07-09,cf72f193be4f11d892e2080020a0f4c9,Attikamek,Kantoskekamak,,
55921,"Saint-Denis-sur-Mer",59837,"Saint-Denis-De La Bouteillerie",Bureau de poste,47.500555,-69.938888,21N12,14055,Saint-Denis-De La Bouteillerie,Municipalité,1986-12-18,d1d0decfbe4f11d892e2080020a0f4c9,Français,Saint-Denis-sur-Mer,,
54941,"Roy, Lac",59839,"Sinué, Lac",Lac,47.548633,-71.144599,21M11,21904,Lac-Jacques-Cartier,Territoire non organisé,1971-06-01,d1de9a71be4f11d892e2080020a0f4c9,Français,Roy,Lac,
55262,"Sable, Lac au",59848,"Sioui, Lac",Lac,47.322649,-71.660311,21M05,22902,Lac-Croche,Territoire non organisé,1987-09-11,d3f2fb89be4f11d892e2080020a0f4c9,Français,Sable,Lac au,
59851,"Sioux, Lac",59848,"Sioui, Lac",Lac,47.322649,-71.660311,21M05,22902,Lac-Croche,Territoire non organisé,1987-09-11,d3f2fb89be4f11d892e2080020a0f4c9,Langue amérindienne indéterminée,Sioux,Lac,
14243,"Club, Lac du",59873,"Sirois, Lac",Lac,46.998888,-71.894166,21L13,34128,Saint-Raymond,Ville,1971-06-01,d8469e4dbe4f11d892e2080020a0f4c9,Indifférencié,Club,Lac du,
39489,"Martre, Lac la",59873,"Sirois, Lac",Lac,46.998888,-71.894166,21L13,34128,Saint-Raymond,Ville,1971-06-01,d8469e4dbe4f11d892e2080020a0f4c9,Français,Martre,Lac la,
92976,"Soleil-d'Afrique, Pointe du",59915,"Siukkaaluk, Cap",Cap,62.510555,-77.668888,35K12,99904,Baie-d'Hudson,Territoire non organisé,1980-01-31,dee14aedbe4f11d892e2080020a0f4c9,Français,Soleil-d'Afrique,Pointe du,
18318,"Diable, Lac au",59942,"Six Caribous, Lac des",Lac,47.500016,-72.445860,31P08,90012,La Tuque,Ville,1971-06-01,e31d46ffbe4f11d892e2080020a0f4c9,Français,Diable,Lac au,
98862,"Katukuatuepint",60006,"Slanting, Lac",Lac,56.914444,-65.010555,24A14,99902,Rivière-Koksoak,Territoire non organisé,1981-01-08,e7b3bf2ebe4f11d892e2080020a0f4c9,Innu,Katukuatuepint,,
104411,"Marisose Sakahikan",60016,"Sleeve, Lac",Lac,47.155000,-74.287758,31O01,62906,Baie-de-la-Bouteille,Territoire non organisé,1981-07-09,e9ae56b1be4f11d892e2080020a0f4c9,Attikamek,Marisose Sakahikan,,
98883,"Shikuteu Shipis",60035,"Slippery, Ruisseau",Ruisseau,56.532221,-64.729721,24A10,99902,Rivière-Koksoak,Territoire non organisé,1981-01-08,e9eee22abe4f11d892e2080020a0f4c9,Innu,Shikuteu Shipis,,
73812,"Travers, Lac",60081,"Smith, Lac",Lac,48.789444,-71.302500,22D14,94930,Mont-Valin,Territoire non organisé,1977-02-17,f05166c7be4f11d892e2080020a0f4c9,Français,Travers,Lac,
82009,"Pujurtuit, Îlots",60095,"Smoky, Îles",Îles,58.937221,-69.266111,24K14,99902,Rivière-Koksoak,Territoire non organisé,1989-06-20,f27aaf71be4f11d892e2080020a0f4c9,Inuktitut,Pujurtuit,Îlots,
75260,"Sud, Lac",60143,"Soc, Lac",Lac,49.566111,-70.362777,22E09,94930,Mont-Valin,Territoire non organisé,1978-08-17,f6df6938be4f11d892e2080020a0f4c9,Français,Sud,Lac,
98936,"Jacques, Lac à",60156,"Sœurs, Lac des",Lac,48.583333,-71.063611,22D11,94245,Saint-David-de-Falardeau,Municipalité,1973-11-20,f8f6d791be4f11d892e2080020a0f4c9,Français,Jacques,Lac à,
127040,"Source, Lac",60179,"Sol, Lac",Lac,46.162777,-73.861111,31I04,62047,Chertsey,Municipalité,1983-11-03,fd40dd64be4f11d892e2080020a0f4c9,Français,Source,Lac,
73870,"Creux, Lac",60206,"Solitaire, Lac",Lac,46.751111,-72.830832,31I15,36033,Shawinigan,Ville,1977-02-18,01b304aebe5011d892e2080020a0f4c9,Français,Creux,Lac,
36432,"Lonesome, Lac",60207,"Solitaire, Lac",Lac,47.010555,-73.203055,31P03,35904,Lac-Normand,Territoire non organisé,1972-06-01,01b96d4fbe5011d892e2080020a0f4c9,Anglais,Lonesome,Lac,
22178,"Femmes, Lac des",60210,"Solitaire, Lac",Lac,48.860833,-66.526666,22B15,08902,Rivière-Bonjour,Territoire non organisé,1972-11-21,01cea302be5011d892e2080020a0f4c9,Français,Femmes,Lac des,
22959,"Foin Plat, Lac au",60223,"Sombre, Lac",Lac,46.333888,-74.093055,31J08,62060,Saint-Donat,Municipalité,1974-01-22,03f9c06dbe5011d892e2080020a0f4c9,Français,Foin Plat,Lac au,
71696,"Sam, Lac",60231,"Sommet, Lac du",Lac,46.204722,-74.668054,31J02,78115,La Conception,Municipalité,1975-12-02,06124034be5011d892e2080020a0f4c9,Anglais,Sam,Lac,
9068,"Buddy Bear, Lac",60260,"Sorbier, Lac du",Lac,47.157119,-72.413547,31P01,34906,Lac-Lapeyrère,Territoire non organisé,1971-06-18,0a62608abe5011d892e2080020a0f4c9,Anglais,Buddy Bear,Lac,
60266,"Sorcerer, Mont",60270,"Sorcier, Mont du",Mont,49.914827,-74.113277,32G16,99025,Chibougamau,Ville,1970-07-15,0a8551dfbe5011d892e2080020a0f4c9,Anglais,Sorcerer,Mont,
100129,"Fourchette, Lac",60274,"Sorcis, Lac",Lac,47.224746,-71.862861,21M04,34902,Lac-Blanc,Territoire non organisé,1981-04-02,0c83b9f2be5011d892e2080020a0f4c9,Français,Fourchette,Lac,
31998,"Kane, Lac",60298,"Soubise, Lac",Lac,47.789669,-71.519177,21M13,21904,Lac-Jacques-Cartier,Territoire non organisé,1971-06-01,0edee814be5011d892e2080020a0f4c9,Anglais,Kane,Lac,
13211,"Chicots, Lac aux",60300,"Souches, Lac des",Lac,46.606944,-72.792777,31I10,36033,Shawinigan,Ville,1975-03-06,10cad996be5011d892e2080020a0f4c9,Français,Chicots,Lac aux,
107087,"Kakickapiskakamacik",60316,"Soudan, Lac",Lac,47.599683,-74.020438,31O09,90012,La Tuque,Ville,1981-03-05,1305fc94be5011d892e2080020a0f4c9,Langue amérindienne indéterminée,Kakickapiskakamacik,,
60325,"Soulanges",,,Division de recensement,45.283333,-74.216666,31G08,71040,Coteau-du-Lac,Ville,1994-08-19,66bdc57f17244b478c6f9a0983d21db5,Français,Soulanges,,
78789,"Perdrix, Lac",60349,"Soupir, Lac",Lac,48.285055,-72.690658,32A07,91902,Lac-Ashuapmushuan,Territoire non organisé,1978-08-17,1788c5aebe5011d892e2080020a0f4c9,Français,Perdrix,Lac,
12678,"Château, Lac du",60354,"Source, Lac à la",Lac,47.070335,-71.095505,21M03,21904,Lac-Jacques-Cartier,Territoire non organisé,1975-01-21,179d8631be5011d892e2080020a0f4c9,Français,Château,Lac du,
107094,"Apikocic Sakahikan",60377,"Souris, Lac de la",Lac,47.702500,-74.106944,31O09,90012,La Tuque,Ville,1981-03-05,1bd0cfb3be5011d892e2080020a0f4c9,Langue amérindienne indéterminée,Apikocic Sakahikan,,
60477,"Spatford, Lac",60460,"Spafford, Lac",Lac,48.095499,-74.130766,32B01,90012,La Tuque,Ville,1974-09-12,2236618fbe5011d892e2080020a0f4c9,Anglais,Spatford,Lac,
37532,"Lunettes, Lac",60488,"Spectacles, Lac",Lac,45.802500,-74.527499,31G15,76065,Harrington,Municipalité de canton,1973-01-16,24875680be5011d892e2080020a0f4c9,Français,Lunettes,Lac,
29119,"Huard, Lac",60609,"Squale, Lac",Lac,47.644296,-71.008675,21M11,16902,Lac-Pikauba,Territoire non organisé,1968-12-05,a8b2a2b6be5011d892e2080020a0f4c9,Français,Huard,Lac,NA
60642,"Squaw, Baie",,,Baie,45.419560,-75.736674,31G05,81017,Gatineau,Ville,2020-06-18,acfdb9f1be5011d892e2080020a0f4c9,Langue amérindienne indéterminée,Squaw,Baie,NA
60647,"Squaw, Lac de la",,,Lac,45.839166,-75.313888,31G14,80085,Mulgrave-et-Derry,Municipalité,2020-06-18,ad1364d2be5011d892e2080020a0f4c9,Langue amérindienne indéterminée,Squaw,Lac de la,NA
60653,"Squawl, Lac",60650,"Squaw, Lac de la",Lac,54.844166,-66.820277,23J15,97040,Schefferville,Ville,1974-09-12,ad7ed0d5be5011d892e2080020a0f4c9,Langue amérindienne indéterminée,Squawl,Lac,NA
60660,"Staff, Île",424633,"Lafontaine, Île",Île,50.581118,-59.293799,12J11,98015,Côte-Nord-du-Golfe-du-Saint-Laurent,Municipalité,2016-12-09,ae72f4dbbe5011d892e2080020a0f4c9,Anglais,Staff,Île,NA
60704,"Stanstead",,,Division de recensement,45.166666,-72.000000,31H01,45043,Hatley,Municipalité,1994-08-19,6bc6df6486a94f2f89284044106eeaf6,Anglais,Stanstead,,
21591,"Étoile, Lac",60722,"Starr, Lac",Lac,48.014722,-71.915000,22D04,93908,Belle-Rivière,Territoire non organisé,1973-08-28,bc895f35be5011d892e2080020a0f4c9,Français,Étoile,Lac,
245619,"Oiseaux, Île aux",60737,"Steamboat, Île",Île,47.354530,-72.648519,31P07,90012,La Tuque,Ville,1989-11-16,bf7d4addbe5011d892e2080020a0f4c9,Français,Oiseaux,Île aux,
38818,"Marcoux, Lac",60762,"Stella, Lac",Lac,48.837777,-69.515000,22C13,95902,Lac-au-Brochet,Territoire non organisé,1974-08-02,c4a7c59ebe5011d892e2080020a0f4c9,Français,Marcoux,Lac,
37445,"Lucien, Lac",60763,"Stella, Lac",Lac,49.722777,-74.187777,32G09,99060,Eeyou Istchee Baie-James,Gouvernement régional,1971-06-18,c4c49c6fbe5011d892e2080020a0f4c9,Français,Lucien,Lac,
60800,"Stevenson, Île",423384,"Goélands du Bom-Jos, Île à",Île,50.660000,-59.149444,12J11,98015,Côte-Nord-du-Golfe-du-Saint-Laurent,Municipalité,2016-12-09,cb78eb8dbe5011d892e2080020a0f4c9,Anglais,Stevenson,Île,NA
72242,"Vic, Lac",60829,"Stipes, Lac des",Lac,47.701666,-72.272777,31P09,90027,Lac-Édouard,Municipalité,1975-09-23,d146f953be5011d892e2080020a0f4c9,Français,Vic,Lac,
31260,"Johnny, Lac",60850,"Stone, Lac",Lac,47.739166,-71.642499,21M12,21904,Lac-Jacques-Cartier,Territoire non organisé,1971-06-01,d4150d7ebe5011d892e2080020a0f4c9,Anglais,Johnny,Lac,
14038,"Clémence, Lac",60872,"Stony, Lac",Lac,47.013611,-77.203611,31N03,84902,Lac-Nilgaut,Territoire non organisé,1973-01-16,d6e654f9be5011d892e2080020a0f4c9,Français,Clémence,Lac,
77569,"Slim, Lac",60914,"Stuart, Lac",Lac,46.960833,-73.417499,31I14,35906,Rivière-de-la-Savane,Territoire non organisé,1978-08-17,decd0994be5011d892e2080020a0f4c9,Anglais,Slim,Lac,
36951,"Lost, Lac",60915,"Stuart, Lac",Lac,47.139721,-72.121666,31P01,34904,Linton,Territoire non organisé,1971-06-18,dedbaf95be5011d892e2080020a0f4c9,Anglais,Lost,Lac,
109100,"Apicigamijici Sibi",60952,"Subercase, Rivière",Rivière,49.917499,-78.206944,32E16,99060,Eeyou Istchee Baie-James,Gouvernement régional,1981-05-07,e3fe1407be5011d892e2080020a0f4c9,Algonquin,Apicigamijici Sibi,,
77705,"Sable, Île au",60955,"Submergée, Île",Île,47.551497,-79.262250,31M11,85052,Laverlochère-Angliers,Municipalité,1978-08-17,e434db7abe5011d892e2080020a0f4c9,Français,Sable,Île au,
6051,"Blais, Lac",60956,"Subulé, Lac",Lac,47.574349,-71.076410,21M11,21904,Lac-Jacques-Cartier,Territoire non organisé,1971-06-01,e444e10bbe5011d892e2080020a0f4c9,Français,Blais,Lac,
84750,"Kuuk Tullipaa, Ruisseau",60972,"Sucker, Ruisseau",Ruisseau,54.971943,-78.560277,33L15,99060,Eeyou Istchee Baie-James,Gouvernement régional,1978-08-17,e4ab1cf1be5011d892e2080020a0f4c9,Inuktitut,Kuuk Tullipaa,Ruisseau,
168153,"Sucrerie, Lac",60977,"Sucrerie, Lac de la",Lac,46.112777,-74.899444,31J02,78070,Amherst,Municipalité de canton,1991-06-07,e6bc49b4be5011d892e2080020a0f4c9,Français,Sucrerie,Lac,
70228,"Loutre, Rivière de la",60982,"Sucrerie, Ruisseau de la",Ruisseau,48.113333,-70.164722,22D01,15904,Sagard,Territoire non organisé,1976-06-14,e6ec3357be5011d892e2080020a0f4c9,Français,Loutre,Rivière de la,
85073,"Light, Cap de la",60992,"Sud, Cap du",Cap,47.211111,-61.972221,11N04,01023,Les Îles-de-la-Madeleine,Municipalité,1978-08-17,e94da2febe5011d892e2080020a0f4c9,Anglais,Light,Cap de la,
94854,"Ouest, Dune du",61000,"Sud, Dune du",Dune,47.522221,-61.687499,11N12,01023,Les Îles-de-la-Madeleine,Municipalité,1990-10-19,e9ee4fd6be5011d892e2080020a0f4c9,Français,Ouest,Dune du,
23479,"Fourchu, Lac",61026,"Sud-Est, Lac du",Lac,46.763611,-73.380832,31I14,51065,Saint-Alexis-des-Monts,Municipalité de paroisse,1974-03-28,eee1dc15be5011d892e2080020a0f4c9,Français,Fourchu,Lac,
73886,"William, Lac",61027,"Sud-Est, Lac du",Lac,46.845277,-72.962222,31I15,36033,Shawinigan,Ville,1977-02-18,eef4a0c6be5011d892e2080020a0f4c9,Anglais,William,Lac,
19248,"Drolet, Lac",61043,"Sud-Ouest, Lac du",Lac,47.694444,-70.957777,21M10,16902,Lac-Pikauba,Territoire non organisé,1971-06-01,f16b1f0ebe5011d892e2080020a0f4c9,Français,Drolet,Lac,
20429,"Écureuil, Lac de l'",61133,"Sunset, Lac",Lac,47.733333,-72.391666,31P09,90027,Lac-Édouard,Municipalité,1973-12-11,391279b9be5111d892e2080020a0f4c9,Français,Écureuil,Lac de l',
8795,"Brûlé, Lac",61143,"Supérieur, Lac",Lac,46.770832,-73.616943,31I13,62906,Baie-de-la-Bouteille,Territoire non organisé,1972-01-11,3b99e7f1be5111d892e2080020a0f4c9,Français,Brûlé,Lac,
61212,"Sutton",61208,"Sutton",Municipalité de canton,45.105991,-72.615552,31H02,46058,Sutton,Ville,2002-09-18,47858315be5111d892e2080020a0f4c9,Anglais,Sutton,,
123095,"Vertes, Montagnes",61211,"Sutton, Monts",Monts,45.080988,-72.546677,31H02,46058,Sutton,Ville,1983-09-01,498f0eb7be5111d892e2080020a0f4c9,Français,Vertes,Montagnes,
2119,"Arpenteurs, Lac des",61241,"Suzor-Coté, Lac",Lac,48.030018,-71.446338,22D03,94928,Lac-Ministuk,Territoire non organisé,1971-06-01,4f7389b0be5111d892e2080020a0f4c9,Français,Arpenteurs,Lac des,
16495,"Curry, Lac",61321,"Sylvains, Lac des",Lac,49.864166,-73.806111,32H13,91902,Lac-Ashuapmushuan,Territoire non organisé,1972-03-28,58453a95be5111d892e2080020a0f4c9,Anglais,Curry,Lac,
82327,"Mercier, Premier lac",61341,"Syndicat, Lac du",Lac,49.085833,-65.918888,22H04,04902,Mont-Albert,Territoire non organisé,1978-08-17,5dd7ed05be5111d892e2080020a0f4c9,Français,Mercier,Premier lac,
61358,"Tabac, Rapides",,,Rapides,51.021943,-66.979721,22O02,97904,Lac-Walker,Territoire non organisé,2024-06-06,60a45381be5111d892e2080020a0f4c9,Innu,Tabac,Rapides,NA
101809,"Pakosikani Sakahikan",61361,"Tabac, Lac du",Lac,47.682632,-74.424477,31O09,62918,Baie-Obaoca,Territoire non organisé,1981-03-05,60ca03f3be5111d892e2080020a0f4c9,Attikamek,Pakosikani Sakahikan,,
92806,"Caribou, Lac",61411,"Taché, Lac",Lac,48.254444,-68.317777,22C08,10902,Lac-Huron,Territoire non organisé,1979-10-29,6945a598be5111d892e2080020a0f4c9,Langue amérindienne indéterminée,Caribou,Lac,
32883,"La Broquerie, Île de",61476,"Tailhandier, Grandes battures",Battures,45.594999,-73.491388,31H11,58033,Boucherville,Ville,1973-11-20,71c47b8abe5111d892e2080020a0f4c9,Français,La Broquerie,Île de,
61497,"Taillon",,,Bureau de poste,48.661375,-71.820077,22D12,93070,Saint-Henri-de-Taillon,Municipalité,2020-12-10,7460f863be5111d892e2080020a0f4c9,Français,Taillon,,H
18091,"Desroches, Lac",61547,"Talayarde du Sud, Lac",Lac,47.063261,-71.719999,21M04,22025,Saint-Gabriel-de-Valcartier,Municipalité,1971-06-01,7caf2160be5111d892e2080020a0f4c9,Français,Desroches,Lac,
78101,"Tee, Lac",61569,"Talé, Lac",Lac,47.543055,-79.252777,31M11,85052,Laverlochère-Angliers,Municipalité,1978-08-17,7f69867bbe5111d892e2080020a0f4c9,Anglais,Tee,Lac,
45698,"Orignal, Lac de l'",61580,"Tallard, Étang",Étang,48.782221,-66.846944,22B15,08902,Rivière-Bonjour,Territoire non organisé,1974-03-28,822cc533be5111d892e2080020a0f4c9,Français,Orignal,Lac de l',
100128,"Tom, Lac",61584,"Talleua, Lac",Lac,47.254647,-71.806422,21M05,34902,Lac-Blanc,Territoire non organisé,1981-04-02,825fbc16be5111d892e2080020a0f4c9,Anglais,Tom,Lac,
62966,"Top, Lac",61604,"Talvau, Lac",Lac,46.561666,-74.094721,31J09,62912,Saint-Guillaume-Nord,Territoire non organisé,1972-01-11,85383082be5111d892e2080020a0f4c9,Anglais,Top,Lac,
34203,"Laplante, Lac",61605,"Talweg, Lac du",Lac,47.580554,-71.671666,21M12,21904,Lac-Jacques-Cartier,Territoire non organisé,1971-06-01,85492073be5111d892e2080020a0f4c9,Français,Laplante,Lac,
61613,"Tamarac, Barrage",,,Barrage,47.936666,-75.538888,31O13,89040,Senneterre,Ville,2002-06-11,8b04a8a5da264dfbbe0f61370285bcae,Algonquin,Tamarac,Barrage,
36272,"Little Tanapi, Lac",61645,"Tanapi, Lac",Lac,51.579443,-57.446388,12P11,98015,Côte-Nord-du-Golfe-du-Saint-Laurent,Municipalité,1971-06-18,8daea204be5111d892e2080020a0f4c9,Anglais,Little Tanapi,Lac,
63279,"Trajot, Lac",61646,"Tanascon, Lac",Lac,46.063055,-75.084166,31J03,80135,Duhamel,Municipalité,2011-02-09,b6568a43be5211d892e2080020a0f4c9,Français,Trajot,Lac,
101836,"Wawagocig Sibi",61657,"Tangente, Rivière",Rivière,49.302222,-78.742499,32E07,99060,Eeyou Istchee Baie-James,Gouvernement régional,1981-03-05,905494bdbe5111d892e2080020a0f4c9,Algonquin,Wawagocig Sibi,,NA
18629,"Doctor's, Lac",61673,"Tania, Lac",Lac,45.772777,-74.304166,31G16,76025,Gore,Municipalité de canton,1985-11-07,9350e3dcbe5111d892e2080020a0f4c9,Anglais,Doctor's,Lac,
78065,"René, Lac",61674,"Tanière, Lac de la",Lac,47.729727,-74.637327,31O10,62918,Baie-Obaoca,Territoire non organisé,1978-08-17,93609b4dbe5111d892e2080020a0f4c9,Français,René,Lac,
108414,"Witikowi Sibi",61688,"Tanshell, Ruisseau",Ruisseau,49.267777,-78.141666,32E08,99060,Eeyou Istchee Baie-James,Gouvernement régional,1981-04-02,9664175abe5111d892e2080020a0f4c9,Algonquin,Witikowi Sibi,,NA
85017,"Nischipimipan, Lac",61736,"Tardon, Lac",Lac,56.519721,-74.091388,34B09,99904,Baie-d'Hudson,Territoire non organisé,1978-08-17,a0b8227ebe5111d892e2080020a0f4c9,Cri,Nischipimipan,Lac,
98653,"Taschereau",61771,"Taschereau",Municipalité de village,48.666666,-78.683333,32D10,87042,Taschereau,Municipalité,2002-01-24,a960a07ebe5111d892e2080020a0f4c9,Français,Taschereau,,
61820,"Tassiattaq, Lac",61783,"Tasiataq, Lac",Lac,58.754444,-71.776110,24L13,99902,Rivière-Koksoak,Territoire non organisé,1970-02-27,a9e20585be5111d892e2080020a0f4c9,Inuktitut,Tassiattaq,Lac,
83052,"Virgin, Lac",61791,"Tasiraq, Lac",Lac,58.197777,-66.970832,24J02,99902,Rivière-Koksoak,Territoire non organisé,1978-08-17,ac41c77cbe5111d892e2080020a0f4c9,Anglais,Virgin,Lac,
60046,"Slush, Lac",61796,"Tasirmiuvik, Lac",Lac,59.683888,-69.862500,24N12,99902,Rivière-Koksoak,Territoire non organisé,1972-11-21,ac9eb491be5111d892e2080020a0f4c9,Anglais,Slush,Lac,
16378,"Cuff, Lac",61841,"Taulignan, Lac",Lac,47.032938,-77.097760,31N03,84902,Lac-Nilgaut,Territoire non organisé,1973-01-16,b6f4bb84be5111d892e2080020a0f4c9,Français,Cuff,Lac,
77853,"Chabot, Lac",61858,"Tauront, Lac",Lac,47.220554,-74.970277,31O02,79914,Lac-Oscar,Territoire non organisé,1978-08-17,ba44f804be5111d892e2080020a0f4c9,Français,Chabot,Lac,
67818,"Akuliarattaq, Cap",61867,"Tavernier, Cap",Cap,62.352500,-76.030832,35K08,99904,Baie-d'Hudson,Territoire non organisé,1976-02-25,bcea758dbe5111d892e2080020a0f4c9,Inuktitut,Akuliarattaq,Cap,
62273,"Thaumur, Lac",61891,"Taylor, Lac",Lac,47.848527,-75.202497,31O14,90012,La Tuque,Ville,1994-10-07,c00b64aebe5111d892e2080020a0f4c9,Français,Thaumur,Lac,
61349,"T, Lac",61924,"Tee, Lac",Lac,46.784721,-79.039444,31L14,85005,Témiscaming,Ville,1974-01-22,c7aad716be5111d892e2080020a0f4c9,Indifférencié,T,Lac,
24953,"Gendreau",61930,"Tee Lake",Village,46.755833,-79.044444,31L14,85010,Kipawa,Municipalité,1972-05-15,c7f9453abe5111d892e2080020a0f4c9,Français,Gendreau,,
92467,"Letang",61977,"Témiscaming",Municipalité,46.722071,-79.093116,31L11,85005,Témiscaming,Ville,1988-12-13,ce02fc76be5111d892e2080020a0f4c9,Inconnu,Letang,,
61978,"Témiscamingue",,,Division de recensement,47.000000,-78.500000,31M02,85907,Les Lacs-du-Témiscamingue,Territoire non organisé,1994-08-19,54d02677767544b8a96cb436466bbd32,Algonquin,Témiscamingue,,
61982,"Témiscouata",,,Division de recensement,47.666666,-68.833333,21N10,13073,Témiscouata-sur-le-Lac,Ville,1994-08-19,9e77437137d14d55816dfcf858d9b5a8,Micmac,Témiscouata,,
340651,"Tempenny, Lac",62021,"Tenpenny, Lac",Lac,45.627499,-75.766111,31G12,82015,Val-des-Monts,Municipalité,2010-09-14,0cf60ec8849c20c3267143d320b078eb,Anglais,Tempenny,Lac,
98503,"Boisé, Lac",62041,"Tente, Lac de la",Lac,48.716666,-71.016666,22D11,94245,Saint-David-de-Falardeau,Municipalité,1978-08-17,d8b1d0cfbe5111d892e2080020a0f4c9,Français,Boisé,Lac,
36350,"Lockwell, Lac",62068,"Terminal, Lac",Lac,49.477221,-69.989721,22F05,95902,Lac-au-Brochet,Territoire non organisé,1974-08-02,de4b12f6be5111d892e2080020a0f4c9,Anglais,Lockwell,Lac,
81710,"Truite, Lac",62071,"Termites, Lac des",Lac,47.716666,-72.670554,31P10,90012,La Tuque,Ville,1977-08-08,e06678e9be5111d892e2080020a0f4c9,Français,Truite,Lac,
33146,"Lachenaie",62093,"Terrebonne",Ville,45.691538,-73.634302,31H12,64008,Terrebonne,Ville,2001-08-22,e3e9853dbe5111d892e2080020a0f4c9,Français,Lachenaie,,
298938,"La Plaine",62093,"Terrebonne",Ville,45.691538,-73.634302,31H13,64008,Terrebonne,Ville,2001-08-22,e3e9853dbe5111d892e2080020a0f4c9,Français,La Plaine,,
62095,"Terrebonne",,,Division de recensement,46.000000,-74.083333,31G16,77012,Sainte-Marguerite-du-Lac-Masson,Ville,1994-08-19,c4fdf05f0a524907b460d68ad8ba7b8f,Français,Terrebonne,,
66199,"Vire-Crêpe, Ruisseau",62096,"Terrebonne, Ruisseau",Ruisseau,46.730027,-71.287983,21L11,25213,Lévis,Ville,1974-03-28,e5eef22fbe5111d892e2080020a0f4c9,Français,Vire-Crêpe,Ruisseau,
98860,"Minaik",62120,"Terriault, Lac",Lac,56.836666,-64.746388,24A15,99902,Rivière-Koksoak,Territoire non organisé,1981-01-08,e96ca753be5111d892e2080020a0f4c9,Naskapis,Minaik,,
73957,"Caché, Lac",62150,"Tessier, Lac",Lac,46.752777,-73.147499,31I14,36033,Shawinigan,Ville,1977-02-18,eebc5d56be5111d892e2080020a0f4c9,Français,Caché,Lac,
62853,"Tom, Lac",62171,"Testard, Lac",Lac,50.061944,-78.081666,32L01,99060,Eeyou Istchee Baie-James,Gouvernement régional,1970-07-15,f47fe3c8be5111d892e2080020a0f4c9,Anglais,Tom,Lac,
54357,"Rond, Lac",62176,"Têtard, Lac",Lac,47.198283,-72.525852,31P02,34906,Lac-Lapeyrère,Territoire non organisé,1971-06-18,f4d9275dbe5111d892e2080020a0f4c9,Français,Rond,Lac,
64960,"Van, Lac",62189,"Tête, Lac de la",Lac,47.640413,-71.082885,21M11,16902,Lac-Pikauba,Territoire non organisé,1971-06-01,f7568374be5111d892e2080020a0f4c9,Indifférencié,Van,Lac,
62202,"Tête à la Baleine, Île de la",424683,"Mercier, Île",Île,50.607777,-59.178610,12J11,98015,Côte-Nord-du-Golfe-du-Saint-Laurent,Municipalité,2016-12-09,f9f0412dbe5111d892e2080020a0f4c9,Français,Tête à la Baleine,Île de la,NA
368993,"Montagne, Ruisseau de la",62204,"Tête à l'Ours, Rivière de la",Section de cours d'eau,48.479071,-73.161666,32A06,91902,Lac-Ashuapmushuan,Territoire non organisé,2001-04-11,fa1c5a3fbe5111d892e2080020a0f4c9,Français,Montagne,Ruisseau de la,
17749,"Dépôt, Montagne du",62254,"Têtu, Colline",Colline,48.571046,-72.645544,32A10,91902,Lac-Ashuapmushuan,Territoire non organisé,1971-08-31,02cdb1dfbe5211d892e2080020a0f4c9,Français,Dépôt,Montagne du,
